t,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,gps_t,gps_px,gps_py,gps_pz,gps_vx,gps_vy,gps_vz,gps_valid,baro_alt,baro_valid
0.257500,0.041214,-0.144575,0.123268,1.561590,3.592608,-10.316269,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.260000,0.077805,-0.183874,-0.103250,1.016146,-3.257581,-10.157762,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,63.0736,1
0.262500,-0.049065,-0.099296,0.235215,-1.165322,0.776484,-9.032215,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.265000,0.050227,-0.033685,-0.046470,-2.153349,0.626083,-6.084146,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.267500,0.136469,0.128497,0.100195,-0.328728,0.674291,-12.163816,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.270000,0.150952,0.126546,-0.282465,1.542394,0.274912,-9.327287,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.272500,0.151327,-0.050315,0.050444,1.103069,-1.910946,-11.253845,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.275000,-0.045597,-0.054106,0.073696,2.795283,-0.727124,-10.318513,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.277500,-0.081645,0.226893,0.103778,-2.705511,2.442615,-7.174001,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.280000,0.095696,0.069432,0.078777,0.792926,-1.902049,-8.260612,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,62.4727,1
0.282500,0.039631,-0.135119,0.148100,-2.064358,2.162409,-11.239457,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.285000,-0.035954,0.150671,-0.007169,-0.220434,0.940448,-10.120801,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.287500,0.007619,-0.124686,-0.131756,-1.276773,0.840304,-7.933428,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.290000,-0.142134,-0.035132,0.174857,0.049505,-0.404709,-5.719102,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.292500,0.021458,-0.057688,0.002004,2.187226,-2.824923,-9.254566,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.295000,-0.058883,0.136445,0.037298,1.854787,-2.441794,-11.044179,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.297500,-0.196171,-0.164297,0.025277,0.566648,1.017920,-8.120346,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.300000,0.111456,0.123801,-0.012794,-0.037913,-0.455422,-10.761169,0.100000,-0.8082,1.7217,-66.8101,-0.117985,-0.252970,-0.123934,1,62.4676,1
0.302500,-0.020090,-0.174142,-0.076089,0.904628,-0.288635,-7.184333,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.305000,0.080735,0.084848,-0.010361,-2.321291,-1.335607,-11.369346,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.307500,-0.155132,0.006450,-0.017782,-1.896698,0.245020,-8.452852,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.310000,-0.011722,0.058957,-0.066110,-3.998441,0.612361,-7.532782,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.312500,-0.069378,0.041718,0.049427,-2.342715,-2.899278,-10.259816,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.315000,0.139395,0.054731,0.023716,2.958982,-2.922879,-10.536568,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.317500,-0.174118,0.036321,-0.071827,-0.926303,0.984896,-4.083348,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.320000,0.111371,-0.118068,-0.078877,-4.258462,3.101590,-9.161430,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,62.9395,1
0.322500,0.068429,-0.145280,0.009528,-2.511853,0.926785,-14.739821,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.325000,-0.153129,0.042790,-0.171801,1.502797,-0.850699,-10.384180,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.327500,0.003796,0.032139,-0.065664,2.812708,-1.471889,-9.462903,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.330000,-0.024465,-0.146139,-0.098335,2.407105,0.649528,-11.363271,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.332500,-0.153663,-0.134255,-0.048989,0.147410,1.666457,-10.980802,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.335000,-0.228960,0.027627,0.194485,-1.825111,-1.066893,-9.628289,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.337500,0.016232,-0.054421,-0.048638,1.712735,-0.306573,-11.937065,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.340000,-0.049349,0.011261,0.007968,2.685114,0.114806,-11.792277,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,62.9321,1
0.342500,0.151316,0.054577,-0.126970,-1.208875,0.141957,-10.688530,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.345000,-0.052981,0.113830,0.067084,-1.118309,-1.318760,-11.223783,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.347500,-0.010828,-0.117738,0.088407,-0.829436,-2.195470,-12.015010,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.350000,0.024658,-0.108181,0.150425,2.669748,0.512347,-12.604414,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.352500,0.105151,-0.161871,0.003375,2.648841,-3.265339,-9.307401,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.355000,0.047847,-0.026483,-0.036818,-0.696523,-0.967419,-9.989955,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.357500,0.002891,0.020958,-0.042061,-3.475211,-4.029052,-9.362695,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.360000,0.070989,0.090003,0.160038,2.873812,1.207205,-11.669395,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,62.8299,1
0.362500,-0.086452,-0.054782,0.005244,0.869628,-0.599179,-6.953530,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
