t,sensor,innov_0,innov_1,innov_2,innov_3,innov_4,innov_5,nis,dim,accepted
0.862500,BARO,0.14398690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.075767,1,1
0.882500,MAG,0.84851430,0.62315894,0.39359585,0.00000000,0.00000000,0.00000000,1.852228,3,1
0.882500,BARO,0.08593935,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.027174,1,1
0.902500,MAG,-0.56959291,-0.11466084,2.76470251,0.00000000,0.00000000,0.00000000,11.882316,3,1
0.902500,BARO,-0.62193129,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.431283,1,1
0.905000,GPS,1.32667225,0.91939032,2.09395409,-0.18532455,-0.36925901,-0.00315402,4.761434,6,1
0.922500,MAG,1.22390510,-1.55195828,0.15328900,0.00000000,0.00000000,0.00000000,5.296596,3,1
0.922500,BARO,0.03233185,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.003786,1,1
0.942500,MAG,0.93660425,0.73044594,0.84763644,0.00000000,0.00000000,0.00000000,3.189974,3,1
0.942500,BARO,-0.85933763,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.696413,1,1
0.962500,MAG,-0.21637915,-1.04340447,0.45676048,0.00000000,0.00000000,0.00000000,1.846967,3,1
0.962500,BARO,0.25034289,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.230413,1,1
0.982500,MAG,-0.18622691,-1.03092165,-0.18130406,0.00000000,0.00000000,0.00000000,1.575109,3,1
0.982500,BARO,-0.33073909,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.404503,1,1
1.002500,MAG,0.95207223,-0.15605415,1.11668375,0.00000000,0.00000000,0.00000000,3.380763,3,1
1.002500,BARO,0.66810593,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.658763,1,1
1.005000,GPS,1.93959357,0.11800270,-0.67065586,-0.11612386,-0.06258507,-0.01123221,1.678580,6,1
1.022500,MAG,1.06701299,0.65360277,0.92334027,0.00000000,0.00000000,0.00000000,3.635426,3,1
1.022500,BARO,-0.38210775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.528758,1,1
1.042500,MAG,1.07591944,0.27819283,0.51524497,0.00000000,0.00000000,0.00000000,2.229611,3,1
1.042500,BARO,-0.04602923,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.007736,1,1
1.062500,MAG,0.07811513,0.69270728,1.51971428,0.00000000,0.00000000,0.00000000,4.200391,3,1
1.062500,BARO,1.18690245,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.179274,1,1
1.082500,MAG,1.46296991,-1.47379998,-0.56693556,0.00000000,0.00000000,0.00000000,6.400257,3,1
1.082500,BARO,-0.08775213,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.028475,1,1
1.102500,MAG,0.37120813,-1.37653246,0.76314755,0.00000000,0.00000000,0.00000000,3.746589,3,1
1.102500,BARO,-0.25146495,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.234991,1,1
1.105000,GPS,0.76902956,-1.43445770,-1.85882611,-0.16760167,-0.30357129,0.04717545,4.288404,6,1
